alcohol,malic_acid,color_intensity
14.23,1.71,5.64
13.2,1.78,4.38
13.16,2.36,5.68
14.37,1.95,7.8
13.24,2.59,4.32
14.2,1.76,6.75
14.39,1.87,5.25
14.06,2.15,5.05
14.83,1.64,5.2
13.86,1.35,7.22
14.1,2.16,5.75
14.12,1.48,5
13.75,1.73,5.6
14.75,1.73,5.4
14.38,1.87,7.5
13.63,1.81,7.3
14.3,1.92,6.2
13.83,1.57,6.6
14.19,1.59,8.7
13.64,3.1,5.1
14.06,1.63,5.65
12.93,3.8,4.5
13.71,1.86,3.8
12.85,1.6,3.93
13.5,1.81,3.52
13.05,2.05,3.58
13.39,1.77,4.8
13.3,1.72,3.95
13.87,1.9,4.5
14.02,1.68,4.7
13.73,1.5,5.7
13.58,1.66,6.9
13.68,1.83,3.84
13.76,1.53,5.4
13.51,1.8,4.2
13.48,1.81,5.1
13.28,1.64,4.6
13.05,1.65,4.25
13.07,1.5,3.7
14.22,3.99,5.1
13.56,1.71,6.13
13.41,3.84,4.28
13.88,1.89,5.43
13.24,3.98,4.36
13.05,1.77,5.04
14.21,4.04,5.24
14.38,3.59,4.9
13.9,1.68,6.1
14.1,2.02,6.2
13.94,1.73,8.9
13.05,1.73,7.2
13.83,1.65,5.6
13.82,1.75,7.05
13.77,1.9,6.3
13.74,1.67,5.85
13.56,1.73,6.25
14.22,1.7,6.38
13.29,1.97,6
13.72,1.43,6.8
12.37,0.94,1.95
12.33,1.1,3.27
12.64,1.36,5.75
13.67,1.25,3.8
12.37,1.13,4.45
12.17,1.45,2.95
12.37,1.21,4.6
13.11,1.01,5.3
12.37,1.17,4.68
13.34,0.94,3.17
12.21,1.19,2.85
12.29,1.61,3.05
13.86,1.51,3.38
13.49,1.66,3.74
12.99,1.67,3.35
11.96,1.09,3.21
11.66,1.88,3.8
13.03,0.9,4.6
11.84,2.89,2.65
12.33,0.99,3.4
12.7,3.87,2.57
12,0.92,2.5
12.72,1.81,3.9
12.08,1.13,2.2
13.05,3.86,4.8
11.84,0.89,3.05
12.67,0.98,2.62
12.16,1.61,2.45
11.65,1.67,2.6
11.64,2.06,2.8
12.08,1.33,1.74
12.08,1.83,2.4
12,1.51,3.6
12.69,1.53,3.05
12.29,2.83,2.15
11.62,1.99,3.25
12.47,1.52,2.6
11.81,2.12,2.5
12.29,1.41,2.9
12.37,1.07,4.5
12.29,3.17,2.3
12.08,2.08,3.3
12.6,1.34,2.45
12.34,2.45,2.8
11.82,1.72,2.06
12.51,1.73,2.94
12.42,2.55,2.7
12.25,1.73,3.4
12.72,1.75,3.3
12.22,1.29,2.7
11.61,1.35,2.65
11.46,3.74,2.9
12.52,2.43,2
11.76,2.68,3.8
11.41,0.74,3.08
12.08,1.39,2.9
11.03,1.51,1.9
11.82,1.47,1.95
12.42,1.61,2.06
12.77,3.43,3.4
12,3.43,1.28
11.45,2.4,3.25
11.56,2.05,6
12.42,4.43,2.08
13.05,5.8,2.6
11.87,4.31,2.8
12.07,2.16,2.76
12.43,1.53,3.94
11.79,2.13,3
12.37,1.63,2.12
12.04,4.3,2.6
12.86,1.35,4.1
12.88,2.99,5.4
12.81,2.31,5.7
12.7,3.55,5
12.51,1.24,5.45
12.6,2.46,7.1
12.25,4.72,3.85
12.53,5.51,5
13.49,3.59,5.7
12.84,2.96,4.92
12.93,2.81,4.6
13.36,2.56,5.6
13.52,3.17,4.35
13.62,4.95,4.4
12.25,3.88,8.21
13.16,3.57,4
13.88,5.04,4.9
12.87,4.61,7.65
13.32,3.24,8.42
13.08,3.9,9.4
13.5,3.12,8.6
12.79,2.67,10.8
13.11,1.9,7.1
13.23,3.3,10.52
12.58,1.29,7.6
13.17,5.19,7.9
13.84,4.12,9.01
12.45,3.03,7.5
14.34,1.68,13
13.48,1.67,11.75
12.36,3.83,7.65
13.69,3.26,5.88
12.85,3.27,5.58
12.96,3.45,5.28
13.78,2.76,9.58
13.73,4.36,6.62
13.45,3.7,10.68
12.82,3.37,10.26
13.58,2.58,8.66
13.4,4.6,8.5
12.2,3.03,5.5
12.77,2.39,9.899999
14.16,2.51,9.7
13.71,5.65,7.7
13.4,3.91,7.3
13.27,4.28,10.2
13.17,2.59,9.3
14.13,4.1,9.2
